# step, gen_loss, dis_loss
1,  2.079248E+01, -7.816010E+01
2,  1.292411E+01, -7.289673E+01
3,  6.188594E+00, -6.740777E+01
4, -4.546749E+00, -6.276290E+01
5, -4.590328E+00, -5.920113E+01
6, -6.057055E+00, -5.842281E+01
7, -1.318257E+01, -5.641981E+01
8, -1.022880E+01, -5.632978E+01
9, -1.156015E+01, -5.617498E+01
10, -6.200202E+00, -5.534660E+01
11, -4.833366E+00, -5.523912E+01
12, -1.292187E+01, -5.531000E+01
13, -1.515932E+01, -5.507581E+01
14, -1.464958E+01, -5.421031E+01
15, -1.373399E+01, -5.467427E+01
16, -1.541215E+01, -5.458542E+01
17, -1.383385E+01, -5.439264E+01
18, -1.515904E+01, -5.426325E+01
19, -1.577332E+01, -5.416485E+01
20, -1.640898E+01, -5.403313E+01
21, -1.557775E+01, -5.392290E+01
22, -1.195905E+01, -5.383616E+01
23, -1.739606E+01, -5.366764E+01
24, -1.384491E+01, -5.365297E+01
25, -1.651060E+01, -5.331518E+01
26, -1.152998E+01, -5.352901E+01
27, -1.746050E+01, -5.305323E+01
28, -1.997708E+01, -5.326709E+01
29, -1.498926E+01, -5.309241E+01
30, -2.179259E+01, -5.316582E+01
31, -1.682706E+01, -5.288660E+01
32, -1.251951E+01, -5.294832E+01
33, -1.798285E+01, -5.277085E+01
34, -1.499133E+01, -5.270308E+01
35, -1.805471E+01, -5.272464E+01
36, -3.766825E+00, -5.242692E+01
37, -8.873776E-01, -5.209962E+01
38, -1.377936E+01, -5.237714E+01
39, -1.739099E+01, -5.230846E+01
40, -1.272564E+01, -5.166319E+01
41, -1.803568E+01, -5.225998E+01
42, -1.753527E+01, -5.217221E+01
43, -1.318483E+01, -5.083060E+01
44, -1.907017E+01, -5.206028E+01
45, -1.760435E+01, -5.190063E+01
46, -1.799306E+01, -5.181974E+01
47, -1.885317E+01, -5.088044E+01
48, -1.586267E+01, -5.162460E+01
49, -1.681176E+01, -5.156367E+01
50, -1.696966E+01, -5.144432E+01
51, -1.175933E+01, -5.120230E+01
52, -2.070211E+01, -5.128748E+01
53, -1.422070E+01, -5.100163E+01
54, -1.443817E+01, -5.114082E+01
55, -1.451584E+01, -5.100966E+01
56, -2.212988E+01, -5.100713E+01
57, -1.965755E+01, -5.086161E+01
58, -1.598834E+01, -5.077061E+01
59, -1.719920E+01, -5.065189E+01
60, -1.739391E+01, -5.051971E+01
61, -1.885437E+01, -5.058641E+01
62, -1.524959E+01, -4.995309E+01
63, -1.593612E+01, -5.037364E+01
64, -1.726496E+01, -5.016930E+01
65, -1.872503E+01, -5.027746E+01
66, -1.955004E+01, -5.016602E+01
67, -2.461282E+01, -4.989092E+01
68, -1.850945E+01, -5.005399E+01
69, -1.909635E+01, -4.993410E+01
70, -2.026782E+01, -4.986983E+01
71, -1.822698E+01, -4.981467E+01
72, -1.995250E+01, -4.972561E+01
73, -2.511643E+01, -4.920444E+01
74, -1.759993E+01, -4.953663E+01
75, -1.877090E+01, -4.950143E+01
76, -1.927415E+01, -4.946385E+01
77, -1.866991E+01, -4.933072E+01
78, -1.869694E+01, -4.901738E+01
79, -3.406986E+01, -4.894466E+01
80, -1.599045E+01, -4.914661E+01
81, -1.635165E+01, -4.905473E+01
82, -2.100054E+01, -4.832514E+01
83, -1.566749E+01, -4.889156E+01
84, -1.461189E+01, -4.883823E+01
85, -1.312450E+01, -4.859300E+01
86, -1.421478E+01, -4.864653E+01
87, -1.810254E+01, -4.855693E+01
88, -1.780327E+01, -4.837495E+01
89, -1.485049E+01, -4.838880E+01
90, -1.473469E+01, -4.829540E+01
91, -1.808004E+01, -4.825226E+01
92, -1.328928E+01, -4.814342E+01
93, -2.133790E+01, -4.798111E+01
94, -1.436949E+01, -4.809882E+01
95, -1.525661E+01, -4.795068E+01
96, -1.080228E+01, -4.784626E+01
97, -1.639077E+01, -4.779972E+01
98, -2.364971E+01, -4.761423E+01
99, -1.243608E+01, -4.777021E+01
100, -1.835711E+01, -4.765467E+01
101, -1.364192E+01, -4.750410E+01
102, -1.794433E+01, -4.750060E+01
103, -1.538913E+01, -4.742101E+01
104, -2.058843E+01, -4.726551E+01
105, -1.800470E+01, -4.719954E+01
106, -1.612145E+01, -4.719595E+01
